rpdzkj@95:~/fourth/loh95/testRecord$ iperf3 -s -i 60
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.1.169, port 56888
[  5] local 192.168.1.95 port 5201 connected to 192.168.1.169 port 46409
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5] 3240.00-3300.00 sec  6.67 GBytes   954 Mbits/sec  0.026 ms  28/4943719 (0.00057%)
[  5] 3300.00-3360.00 sec  6.66 GBytes   954 Mbits/sec  0.026 ms  216/4941959 (0.0044%)
[  5] 3360.00-3420.00 sec  6.66 GBytes   954 Mbits/sec  0.027 ms  0/4942096 (0%)
[  5] 3420.00-3480.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4946571 (0%)
[  5] 3480.00-3540.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  278/4947184 (0.0056%)
[  5] 3540.00-3600.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  28/4944265 (0.00057%)
[  5] 3600.00-3660.00 sec  6.67 GBytes   955 Mbits/sec  0.014 ms  0/4944560 (0%)
[  5] 3660.00-3720.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  6/4945931 (0.00012%)
[  5] 3720.00-3780.00 sec  6.67 GBytes   954 Mbits/sec  0.018 ms  366/4943553 (0.0074%)
[  5] 3780.00-3840.00 sec  6.67 GBytes   954 Mbits/sec  0.016 ms  47/4943916 (0.00095%)
[  5] 3840.00-3900.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  0/4947399 (0%)
[  5] 3900.00-3960.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  140/4946427 (0.0028%)
[  5] 3960.00-4020.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  0/4946061 (0%)
[  5] 4020.00-4080.00 sec  6.67 GBytes   956 Mbits/sec  0.027 ms  0/4949378 (0%)
[  5] 4080.00-4140.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  151/4946343 (0.0031%)
[  5] 4140.00-4200.00 sec  6.67 GBytes   955 Mbits/sec  0.014 ms  0/4946456 (0%)
[  5] 4200.00-4260.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  0/4943975 (0%)
[  5] 4260.00-4320.00 sec  6.67 GBytes   955 Mbits/sec  0.014 ms  338/4944936 (0.0068%)
[  5] 4320.00-4380.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  14/4945444 (0.00028%)
[  5] 4380.00-4440.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  119/4944881 (0.0024%)
[  5] 4440.00-4500.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  75/4945949 (0.0015%)
[  5] 4500.00-4560.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  121/4949028 (0.0024%)
[  5] 4560.00-4620.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  219/4945184 (0.0044%)
[  5] 4620.00-4680.00 sec  6.68 GBytes   956 Mbits/sec  0.024 ms  143/4952037 (0.0029%)
[  5] 4680.00-4740.00 sec  6.68 GBytes   956 Mbits/sec  0.023 ms  519/4952163 (0.01%)
[  5] 4740.00-4800.00 sec  6.68 GBytes   956 Mbits/sec  0.018 ms  456/4953386 (0.0092%)
[  5] 4800.00-4860.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  219/4951644 (0.0044%)
[  5] 4860.00-4920.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  139/4946225 (0.0028%)
[  5] 4920.00-4980.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  127/4947879 (0.0026%)
[  5] 4980.00-5040.00 sec  6.67 GBytes   956 Mbits/sec  0.016 ms  47/4949743 (0.00095%)
[  5] 5040.00-5100.00 sec  6.66 GBytes   954 Mbits/sec  0.017 ms  41/4941211 (0.00083%)
[  5] 5100.00-5160.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  97/4951355 (0.002%)
